country,cases,deaths
United_States_of_America,466033,16690
Spain,152446,15238
Italy,143626,18281
Germany,113525,2373
France,86334,12210
China,82925,3340
Iran,66220,4110
United_Kingdom,65077,7978
Turkey,42282,908
Belgium,24983,2523
Switzerland,23495,756
Netherlands,21762,2396
Canada,20748,509
Brazil,17857,941
Portugal,13956,409
Austria,13248,295
South_Korea,10450,208
Russia,10131,76
Israel,9968,86
Sweden,9141,793
Ireland,7393,263
India,6412,199
Norway,6160,88
Australia,6152,52
Chile,5972,57
